school,At 200% FPL or Above,Between 100% and 200% FPL,Up to 100% FPL
Lenox Elementary School,362.7,81.1,40.4
West Union Elementary School,251.4,40.1,51.3
Brookwood Elementary School,278.6,154.4,148.2
W Verne McKinney Elementary School,240.2,104.0,113.0
Eastwood Elementary School,209.8,121.5,174.8
Minter Bridge Elementary School,190.4,78.9,135.4
Mooberry Elementary School,229.8,54.4,89.0
W L Henry Elementary School,147.3,146.3,242.0
Banks Elementary School,206.0,60.0,35.0
Cornelius Elementary School,217.7,78.9,42.5
Dilley Elementary School,216.7,81.4,47.1
Echo Shaw Elementary School,238.0,85.8,54.8
Harvey Clarke Elementary School,259.0,105.2,54.8
Joseph Gale Elementary School,250.5,115.0,50.2
Bridgeport Elementary School,163.4,65.4,60.6
Charles F Tigard Elementary School,294.5,72.1,58.6
Mary Woodward Elementary School,337.2,45.2,69.0
Durham Elementary School,206.4,67.1,50.8
James Templeton Elementary School,273.6,55.7,42.3
Metzger Elementary School,202.0,51.4,44.0
Edward Byrom Elementary School,160.3,41.1,49.6
Tualatin Elementary School,174.1,48.1,46.7
Butternut Creek Elementary School,397.0,109.6,161.4
Indian Hills Elementary School,432.1,132.1,100.1
Reedville Elementary School,354.3,107.3,168.3
Ladd Acres Elementary School,366.8,118.2,81.5
Witch Hazel Elementary School,237.4,79.0,118.5
Groner Elementary School,402.8,45.4,53.8
Aloha-Huber Park School,270.8,113.3,116.5
Barnes Elementary School,306.0,83.6,71.7
Beaver Acres Elementary School,304.4,132.4,124.6
Bethany Elementary School,421.7,80.2,32.2
Greenway Elementary School,260.9,76.6,115.9
Cedar Mill Elementary School,338.2,38.2,40.5
Chehalem Elementary School,187.3,107.0,123.1
Cooper Mountain Elementary School,289.4,58.0,32.0
Errol Hassell Elementary School,360.4,100.6,78.6
Elmonica Elementary School,444.6,103.0,66.6
Fir Grove Elementary School,210.4,90.8,155.4
Hazeldale Elementary School,458.5,87.5,55.8
Hiteon Elementary School,313.2,65.7,66.3
Kinnaman Elementary School,392.6,121.0,100.9
McKay Elementary School,239.2,70.0,81.2
McKinley Elementary School,393.0,87.8,59.6
Montclair Elementary School,216.6,47.4,14.8
Oak Hills Elementary School,507.0,76.2,40.7
Raleigh Hills Elementary School,159.9,93.5,70.1
Raleigh Park Elementary School,209.8,111.4,37.6
Ridgewood Elementary School,284.8,84.5,50.9
Rock Creek Elementary School,374.2,69.7,15.3
Terra Linda Elementary School,401.8,52.4,50.0
Vose Elementary School,166.0,95.0,140.3
West Tualatin View Elementary School,344.8,71.2,13.0
William Walker Elementary School,217.9,88.6,84.9
Farmington View Elementary School,323.7,72.4,51.0
North Plains Elementary School,169.0,41.6,71.4
J Clyde Hopkins Elementary School,319.6,48.3,31.8
Gaston Elementary School,145.5,24.0,14.5
Sexton Mountain Elementary School,278.6,40.4,33.1
Jackson Elementary School,243.5,64.8,109.2
Tobias Elementary School,385.8,105.8,164.2
Nancy Ryles Elementary School,326.7,50.4,45.4
Deer Creek Elementary School,355.6,45.8,41.6
Findley Elementary,443.0,52.2,38.0
Scholls Heights Elementary School,339.5,29.3,65.5
Paul L Patterson Elementary School,225.8,76.8,101.4
Orenco Elementary School,490.5,150.8,49.0
Middleton Elementary School,441.2,47.6,15.6
Jacob Wismer Elementary School,523.7,70.0,43.0
Imlay Elementary School,412.8,126.8,32.6
Fern Hill Elementary School,251.4,122.8,75.6
Alberta Rider Elementary School,438.0,42.8,42.2
Free Orchards Elementary School,231.9,104.7,66.4
Lincoln Street Elementary School,223.8,102.2,255.0
Quatama Elementary School,349.0,106.3,49.8
Bonny Slope Elementary School,444.8,60.6,50.0
Rosedale Elementary School,300.4,116.8,95.0
Springville K-8 School,443.8,52.5,32.2
Edy Ridge Elementary School,423.8,51.0,65.5
